#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pdum_NODE_86330_length_1494_cov_1100_804997_g19671_i2 -            224 1-cysPrx_C           PF10417.12    40   1.5e-11   45.2   0.1   2   2   8.6e-15   3.8e-11   43.9   0.0     1    38   164   201   164   203 0.93 -
Pdum_NODE_121346_length_990_cov_47_789755_g39711_i0 -            145 12TM_1               PF09847.12   449      0.11   12.9   1.1   1   1   3.1e-06      0.14   12.5   1.1   145   191     4    56     2    74 0.83 -
Pdum_DN2415_c0_g1_i1                                 -            249 14-3-3               PF00244.23   222  1.1e-107  359.9   4.3   1   1  2.6e-111  1.3e-107  359.7   4.3     1   222    12   232    12   232 0.99 -
Pdum_DN2415_c0_g1_i14                                -            249 14-3-3               PF00244.23   222  1.1e-107  359.9   4.3   1   1  2.6e-111  1.3e-107  359.7   4.3     1   222    12   232    12   232 0.99 -
Pdum_NODE_17256_length_3930_cov_4091_375032_g5553_i0 -            255 14-3-3               PF00244.23   222  2.1e-105  352.4   9.0   1   1    5e-109  2.4e-105  352.2   9.0     2   222    11   235    10   235 0.97 -
Pdum_NODE_17512_length_3904_cov_4115_117112_g5553_i5 -            255 14-3-3               PF00244.23   222  2.1e-105  352.4   9.0   1   1    5e-109  2.4e-105  352.2   9.0     2   222    11   235    10   235 0.97 -
Pdum_DN6130_c0_g1_i6                                 -            255 14-3-3               PF00244.23   222   3.1e-74  250.5   7.3   1   1   7.4e-78   3.6e-74  250.3   7.3     2   222    20   239    19   239 0.96 -
Pdum_DN174871_c0_g1_i1                               -            246 14-3-3               PF00244.23   222   1.1e-68  232.3   9.1   1   1   2.7e-72   1.3e-68  232.1   9.1     2   222    22   241    21   241 0.95 -
Pdum_DN6130_c0_g1_i29                                -            211 14-3-3               PF00244.23   222     6e-67  226.7   5.2   1   1   1.4e-70   6.8e-67  226.5   5.2    27   222     1   195     1   195 0.96 -
Pdum_NODE_25667_length_3285_cov_2461_338490_g2292_i7 -            126 14-3-3               PF00244.23   222   1.5e-54  186.2   0.2   1   1   3.5e-58   1.7e-54  186.0   0.2   114   222     1   109     1   109 1.00 -
Pdum_NODE_21962_length_3536_cov_4741_963824_g6837_i0 -            140 14-3-3               PF00244.23   222     6e-50  171.1   3.2   1   1   1.5e-53   7.2e-50  170.9   3.2     1   117    10   127    10   129 0.99 -
Pdum_NODE_56739_length_2095_cov_476_489226_g15908_i0 -            525 2-Hacid_dh           PF00389.33   134     3e-38  131.8   0.1   1   1   3.1e-41   4.8e-38  131.1   0.1     1   133     8   315     8   316 0.98 -
Pdum_NODE_80803_length_1589_cov_571_956380_g668_i19  -            329 2-Hacid_dh           PF00389.33   134   8.2e-34  117.4   0.0   1   1   6.4e-37     1e-33  117.1   0.0     3   133     8   322     6   323 0.97 -
Pdum_NODE_85027_length_1517_cov_593_993852_g668_i21  -            307 2-Hacid_dh           PF00389.33   134   2.5e-32  112.6   0.1   1   1   1.9e-35     3e-32  112.3   0.1    21   133     5   300     1   301 0.97 -
Pdum_NODE_86539_length_1491_cov_703_841446_g668_i22  -            307 2-Hacid_dh           PF00389.33   134   2.5e-32  112.6   0.1   1   1   1.9e-35     3e-32  112.3   0.1    21   133     5   300     1   301 0.97 -
Pdum_DN774_c0_g1_i13                                 -            327 2-Hacid_dh           PF00389.33   134   3.3e-32  112.2   0.1   1   1   2.6e-35     4e-32  111.9   0.1     3   133     8   322     6   323 0.97 -
Pdum_DN774_c0_g1_i20                                 -            327 2-Hacid_dh           PF00389.33   134   3.3e-32  112.2   0.1   1   1   2.6e-35     4e-32  111.9   0.1     3   133     8   322     6   323 0.97 -
Pdum_DN18087_c0_g1_i14                               -            353 2-Hacid_dh           PF00389.33   134   5.6e-30  105.0   0.0   1   1   4.4e-33   6.9e-30  104.7   0.0     1   132    37   349    37   351 0.97 -
Pdum_DN95037_c0_g1_i1                                -            395 2-Hacid_dh           PF00389.33   134   5.9e-29  101.7   0.1   1   1   4.8e-32   7.5e-29  101.3   0.1     1   129    14   338    14   343 0.98 -
Pdum_DN803_c0_g1_i18                                 -            410 2-Hacid_dh           PF00389.33   134   6.1e-28   98.4   0.0   1   1   4.7e-31   7.4e-28   98.1   0.0     8   134    27   341    19   341 0.96 -
Pdum_DN803_c0_g1_i19                                 -            410 2-Hacid_dh           PF00389.33   134   6.1e-28   98.4   0.0   1   1   4.7e-31   7.4e-28   98.1   0.0     8   134    27   341    19   341 0.96 -
Pdum_NODE_4912_length_6006_cov_487_745171_g1833_i0   -            416 2-Hacid_dh           PF00389.33   134   6.4e-28   98.3   0.0   1   1   4.9e-31   7.7e-28   98.1   0.0     8   134    27   341    19   341 0.96 -
Pdum_DN803_c0_g1_i27                                 -            418 2-Hacid_dh           PF00389.33   134   6.5e-28   98.3   0.0   1   1     5e-31   7.8e-28   98.0   0.0     8   134    27   343    19   343 0.97 -
Pdum_DN803_c0_g1_i9                                  -            418 2-Hacid_dh           PF00389.33   134   6.5e-28   98.3   0.0   1   1     5e-31   7.8e-28   98.0   0.0     8   134    27   343    19   343 0.97 -
Pdum_DN175174_c0_g1_i1                               -            342 2-Hacid_dh           PF00389.33   134   1.1e-27   97.5   0.1   1   1   8.6e-31   1.3e-27   97.3   0.1     1   129     7   331     7   338 0.98 -
Pdum_DN803_c0_g1_i23                                 -            246 2-Hacid_dh           PF00389.33   134   5.1e-24   85.7   0.0   1   1   3.4e-27   5.4e-24   85.6   0.0     8   103    27   165    19   237 0.80 -
Pdum_DN10885_c0_g1_i21                               -            331 2-Hacid_dh           PF00389.33   134   1.1e-20   75.0   0.0   1   1   8.6e-24   1.4e-20   74.6   0.0     5   124    22   316    20   326 0.94 -
Pdum_NODE_99771_length_1286_cov_217_840227_g23186_i3 -            331 2-Hacid_dh           PF00389.33   134   1.8e-20   74.2   0.0   1   1   1.4e-23   2.2e-20   73.9   0.0     5   124    22   316    20   326 0.94 -
Pdum_DN2698_c0_g1_i12                                -            252 2-Hacid_dh           PF00389.33   134   1.2e-18   68.3   0.0   1   1   9.9e-22   1.5e-18   68.0   0.0    68   133     1   245     1   246 0.99 -
Pdum_DN5645_c0_g1_i3                                 -            333 2-Hacid_dh           PF00389.33   134   8.4e-16   59.1   0.0   1   1   6.7e-19   1.1e-15   58.8   0.0    59   126    73   320    52   329 0.96 -
Pdum_NODE_102776_length_1240_cov_107_127211_g153_i63 -            333 2-Hacid_dh           PF00389.33   134     1e-15   58.8   0.0   1   1   7.7e-19   1.2e-15   58.6   0.0    19   128    35   322    21   329 0.92 -
Pdum_NODE_77342_length_1651_cov_135_473717_g21844_i0 -            333 2-Hacid_dh           PF00389.33   134   2.2e-15   57.7   0.0   1   1   1.8e-18   2.8e-15   57.4   0.0    59   126    73   320    52   329 0.96 -
Pdum_DN5645_c0_g1_i5                                 -            359 2-Hacid_dh           PF00389.33   134   2.7e-15   57.4   0.0   1   1   2.3e-18   3.6e-15   57.0   0.0    59   126    99   346    79   355 0.96 -
Pdum_NODE_79774_length_1607_cov_134_069498_g21844_i1 -            383 2-Hacid_dh           PF00389.33   134   3.2e-15   57.2   0.0   1   1   2.9e-18   4.5e-15   56.8   0.0    59   126   123   370   103   379 0.96 -
Pdum_NODE_23557_length_3422_cov_71_175423_g153_i22   -            333 2-Hacid_dh           PF00389.33   134   2.7e-14   54.2   0.0   1   1     2e-17   3.1e-14   54.0   0.0    19   126    35   320    21   329 0.91 -
Pdum_DN2698_c0_g1_i15                                -            176 2-Hacid_dh           PF00389.33   134   8.5e-05   23.5   0.0   1   1   8.4e-08   0.00013   22.9   0.0    91   133    87   169    28   170 0.82 -
Pdum_DN24375_c0_g1_i14                               -            340 2-Hacid_dh           PF00389.33   134   0.00045   21.1   0.0   1   2   6.3e-06    0.0099   16.8   0.0    25    75    42    92    20    93 0.85 -
Pdum_DN24375_c0_g1_i14                               -            340 2-Hacid_dh           PF00389.33   134   0.00045   21.1   0.0   2   2      0.18   2.8e+02    2.4   0.0   110   133   310   333   148   334 0.84 -
Pdum_NODE_94079_length_1372_cov_233_020470_g27416_i0 -            340 2-Hacid_dh           PF00389.33   134    0.0013   19.7   0.0   1   2   2.3e-05     0.036   15.0   0.0    25    75    42    92    20    93 0.86 -
Pdum_NODE_94079_length_1372_cov_233_020470_g27416_i0 -            340 2-Hacid_dh           PF00389.33   134    0.0013   19.7   0.0   2   2      0.15   2.3e+02    2.6   0.0   109   133   309   333   137   334 0.76 -
Pdum_DN24375_c0_g1_i8                                -            340 2-Hacid_dh           PF00389.33   134    0.0013   19.6   0.0   1   2   2.3e-05     0.036   15.0   0.0    25    75    42    92    20    93 0.86 -
Pdum_DN24375_c0_g1_i8                                -            340 2-Hacid_dh           PF00389.33   134    0.0013   19.6   0.0   2   2      0.15   2.3e+02    2.6   0.0   109   133   309   333   137   334 0.77 -
Pdum_NODE_99771_length_1286_cov_217_840227_g23186_i3    -            331 2-Hacid_dh_C         PF02826.22   178   4.9e-60  203.2   0.2   1   1   2.7e-62     1e-59  202.1   0.0     1   178   118   294   118   294 0.96 -
Pdum_DN774_c0_g1_i13                                    -            327 2-Hacid_dh_C         PF02826.22   178   5.6e-59  199.7   0.0   1   1     2e-61   7.7e-59  199.3   0.0     1   178   113   291   113   291 0.97 -
Pdum_DN774_c0_g1_i20                                    -            327 2-Hacid_dh_C         PF02826.22   178   5.6e-59  199.7   0.0   1   1     2e-61   7.7e-59  199.3   0.0     1   178   113   291   113   291 0.97 -
Pdum_DN2698_c0_g1_i12                                   -            252 2-Hacid_dh_C         PF02826.22   178   5.7e-59  199.7   0.0   1   1   1.8e-61   6.9e-59  199.4   0.0     1   178    36   214    36   214 0.97 -
Pdum_NODE_85027_length_1517_cov_593_993852_g668_i21     -            307 2-Hacid_dh_C         PF02826.22   178   9.4e-59  199.0   0.0   1   1   3.2e-61   1.2e-58  198.6   0.0     1   178    91   269    91   269 0.97 -
Pdum_NODE_86539_length_1491_cov_703_841446_g668_i22     -            307 2-Hacid_dh_C         PF02826.22   178   9.4e-59  199.0   0.0   1   1   3.2e-61   1.2e-58  198.6   0.0     1   178    91   269    91   269 0.97 -
Pdum_NODE_80803_length_1589_cov_571_956380_g668_i19     -            329 2-Hacid_dh_C         PF02826.22   178   1.1e-58  198.8   0.0   1   1   3.9e-61   1.5e-58  198.3   0.0     1   178   113   291   113   291 0.97 -
Pdum_DN10885_c0_g1_i21                                  -            331 2-Hacid_dh_C         PF02826.22   178   2.8e-58  197.4   0.1   1   1   1.7e-60   6.5e-58  196.2   0.0     1   178   118   294   118   294 0.96 -
Pdum_DN18087_c0_g1_i14                                  -            353 2-Hacid_dh_C         PF02826.22   178   3.9e-58  197.0   0.0   1   1   1.6e-60   6.1e-58  196.3   0.0     2   178   142   319   141   319 0.95 -
Pdum_NODE_77342_length_1651_cov_135_473717_g21844_i0    -            333 2-Hacid_dh_C         PF02826.22   178   8.7e-57  192.6   0.0   1   1   3.3e-59   1.3e-56  192.0   0.0     1   178   118   296   118   296 0.95 -
Pdum_NODE_23557_length_3422_cov_71_175423_g153_i22      -            333 2-Hacid_dh_C         PF02826.22   178     9e-57  192.5   0.0   1   1   3.3e-59   1.3e-56  192.0   0.0     1   178   118   296   118   296 0.95 -
Pdum_NODE_79774_length_1607_cov_134_069498_g21844_i1    -            383 2-Hacid_dh_C         PF02826.22   178   1.2e-56  192.1   0.0   1   1   4.8e-59   1.8e-56  191.5   0.0     1   178   168   346   168   346 0.95 -
Pdum_NODE_102776_length_1240_cov_107_127211_g153_i63    -            333 2-Hacid_dh_C         PF02826.22   178   2.8e-56  190.9   0.0   1   1     1e-58     4e-56  190.4   0.0     1   178   118   296   118   296 0.95 -
Pdum_DN5645_c0_g1_i3                                    -            333 2-Hacid_dh_C         PF02826.22   178   3.5e-56  190.6   0.0   1   1   1.4e-58   5.5e-56  190.0   0.0     1   178   118   296   118   296 0.95 -
Pdum_DN5645_c0_g1_i5                                    -            359 2-Hacid_dh_C         PF02826.22   178   4.9e-56  190.1   0.0   1   1   1.9e-58   7.3e-56  189.6   0.0     1   178   144   322   144   322 0.95 -
Pdum_DN803_c0_g1_i18                                    -            410 2-Hacid_dh_C         PF02826.22   178   1.1e-55  189.0   0.0   1   1   4.1e-58   1.6e-55  188.5   0.0     2   178   123   306   122   306 0.94 -
Pdum_DN803_c0_g1_i19                                    -            410 2-Hacid_dh_C         PF02826.22   178   1.1e-55  189.0   0.0   1   1   4.1e-58   1.6e-55  188.5   0.0     2   178   123   306   122   306 0.94 -
Pdum_NODE_4912_length_6006_cov_487_745171_g1833_i0      -            416 2-Hacid_dh_C         PF02826.22   178   1.1e-55  188.9   0.0   1   1   4.2e-58   1.6e-55  188.4   0.0     2   178   123   306   122   306 0.94 -
Pdum_NODE_56739_length_2095_cov_476_489226_g15908_i0    -            525 2-Hacid_dh_C         PF02826.22   178   5.8e-55  186.6   0.0   1   1   2.8e-57   1.1e-54  185.8   0.0     2   178   111   284   110   284 0.98 -
Pdum_DN803_c0_g1_i27                                    -            418 2-Hacid_dh_C         PF02826.22   178   3.3e-53  180.9   0.0   1   1   1.2e-55   4.7e-53  180.4   0.0     2   178   123   308   122   308 0.93 -
Pdum_DN803_c0_g1_i9                                     -            418 2-Hacid_dh_C         PF02826.22   178   3.3e-53  180.9   0.0   1   1   1.2e-55   4.7e-53  180.4   0.0     2   178   123   308   122   308 0.93 -
Pdum_DN95037_c0_g1_i1                                   -            395 2-Hacid_dh_C         PF02826.22   178   4.7e-53  180.4   0.0   1   1     2e-55   7.8e-53  179.7   0.0     2   178   124   311   123   311 0.93 -
Pdum_DN175174_c0_g1_i1                                  -            342 2-Hacid_dh_C         PF02826.22   178   4.8e-51  173.9   0.0   1   1   2.2e-53   8.5e-51  173.1   0.0     2   178   117   304   116   304 0.94 -
Pdum_DN2698_c0_g1_i15                                   -            176 2-Hacid_dh_C         PF02826.22   178   1.1e-48  166.2   0.0   1   1   3.3e-51   1.3e-48  166.0   0.0    40   178     1   138     1   138 0.97 -
Pdum_DN24375_c0_g1_i14                                  -            340 2-Hacid_dh_C         PF02826.22   178   7.4e-48  163.5   0.0   1   1   2.8e-50   1.1e-47  162.9   0.0     2   178   124   304   123   304 0.93 -
Pdum_DN24375_c0_g1_i8                                   -            340 2-Hacid_dh_C         PF02826.22   178     6e-47  160.5   0.0   1   1   2.4e-49   9.1e-47  159.9   0.0     2   178   124   304   123   304 0.93 -
Pdum_NODE_94079_length_1372_cov_233_020470_g27416_i0    -            340 2-Hacid_dh_C         PF02826.22   178   8.6e-47  160.0   0.0   1   1   3.4e-49   1.3e-46  159.4   0.0     2   178   124   304   123   304 0.93 -
Pdum_DN43895_c0_g1_i1                                   -            136 2-Hacid_dh_C         PF02826.22   178     5e-38  131.5   0.0   1   1   1.4e-40   5.5e-38  131.3   0.0     1   131     5   136     5   136 0.96 -
Pdum_DN803_c0_g1_i23                                    -            246 2-Hacid_dh_C         PF02826.22   178     1e-26   94.6   0.0   1   1   3.8e-29   1.4e-26   94.1   0.0     2   119   123   246   122   246 0.91 -
Pdum_DN4496_c0_g1_i37                                   -            405 2-Hacid_dh_C         PF02826.22   178   5.8e-08   33.5   0.4   1   1     3e-10   1.1e-07   32.6   0.1    35   129   184   274   160   283 0.89 -
Pdum_NODE_17535_length_3902_cov_1430_883866_g314_i27    -            405 2-Hacid_dh_C         PF02826.22   178   5.8e-08   33.5   0.4   1   1     3e-10   1.1e-07   32.6   0.1    35   129   184   274   160   283 0.89 -
Pdum_NODE_17854_length_3873_cov_1090_598953_g314_i31    -            405 2-Hacid_dh_C         PF02826.22   178   5.8e-08   33.5   0.4   1   1     3e-10   1.1e-07   32.6   0.1    35   129   184   274   160   283 0.89 -
Pdum_NODE_35473_length_2789_cov_1404_157895_g314_i64    -            478 2-Hacid_dh_C         PF02826.22   178   6.2e-08   33.4   0.1   1   1   4.1e-10   1.6e-07   32.1   0.1    35   129   257   347   235   356 0.89 -
Pdum_NODE_36375_length_2750_cov_1454_709677_g314_i68    -            479 2-Hacid_dh_C         PF02826.22   178   6.4e-08   33.4   0.1   1   1   4.1e-10   1.6e-07   32.1   0.1    35   129   258   348   236   357 0.89 -
Pdum_NODE_18565_length_3813_cov_1039_233777_g314_i36    -            511 2-Hacid_dh_C         PF02826.22   178   7.1e-08   33.2   0.1   1   1   4.6e-10   1.7e-07   32.0   0.1    35   129   290   380   268   389 0.89 -
Pdum_NODE_29433_length_3071_cov_1269_580186_g314_i61    -            505 2-Hacid_dh_C         PF02826.22   178   7.2e-08   33.2   0.1   1   1   4.5e-10   1.7e-07   32.0   0.1    35   129   284   374   262   383 0.89 -
Pdum_DN4496_c0_g1_i20                                   -            519 2-Hacid_dh_C         PF02826.22   178   7.4e-08   33.2   0.1   1   1   4.7e-10   1.8e-07   31.9   0.1    35   129   298   388   276   397 0.89 -
Pdum_DN4496_c0_g1_i4                                    -            677 2-Hacid_dh_C         PF02826.22   178   1.1e-07   32.6   0.1   1   1   7.2e-10   2.8e-07   31.3   0.1    35   129   456   546   435   555 0.90 -
Pdum_NODE_108358_length_1158_cov_17222_256109_g33275_i0 -            297 2-Hacid_dh_C         PF02826.22   178   1.6e-07   32.1   0.1   1   1   7.5e-10   2.9e-07   31.3   0.1    33   127    74   164    52   170 0.91 -
Pdum_DN2019_c0_g1_i1                                    -            436 2-Hacid_dh_C         PF02826.22   178   3.2e-07   31.1   0.1   1   1   1.6e-09   6.2e-07   30.2   0.1    33   127   213   303   195   308 0.91 -
Pdum_NODE_109385_length_1145_cov_30_424908_g33737_i0    -            334 2-Hacid_dh_C         PF02826.22   178   6.5e-05   23.6   0.0   1   1   2.8e-07   0.00011   22.9   0.0    36    93   165   217   154   232 0.81 -
Pdum_NODE_85805_length_1503_cov_309_754483_g21448_i2    -            330 2-Hacid_dh_C         PF02826.22   178   0.00026   21.6   0.1   1   1   1.3e-06    0.0005   20.7   0.1    30   124    28   125    15   134 0.84 -
Pdum_DN8990_c0_g1_i11                                   -            330 2-Hacid_dh_C         PF02826.22   178   0.00026   21.6   0.1   1   1   1.3e-06    0.0005   20.7   0.1    30   124    28   125    15   134 0.84 -
Pdum_NODE_99763_length_1286_cov_852_054339_g29628_i0    -            314 2-Hacid_dh_C         PF02826.22   178   0.00048   20.8   0.0   1   1   4.4e-06    0.0017   19.0   0.0    35    74     2    42     1    57 0.80 -
Pdum_NODE_108224_length_1160_cov_753_773261_g29628_i2   -            314 2-Hacid_dh_C         PF02826.22   178   0.00054   20.6   0.0   1   1   4.4e-06    0.0017   19.0   0.0    35    74     2    42     1    57 0.80 -
Pdum_NODE_105563_length_1198_cov_848_404367_g29628_i1   -            314 2-Hacid_dh_C         PF02826.22   178   0.00055   20.6   0.0   1   1   4.4e-06    0.0017   19.0   0.0    35    74     2    42     1    57 0.80 -
Pdum_DN9935_c0_g1_i21                                   -            366 2-Hacid_dh_C         PF02826.22   178   0.00083   20.0   0.0   1   1   3.5e-06    0.0014   19.3   0.0    36    80   195   239   185   267 0.83 -
Pdum_NODE_52118_length_2220_cov_142_416705_g14704_i0    -            366 2-Hacid_dh_C         PF02826.22   178   0.00099   19.7   0.0   1   1   4.6e-06    0.0018   18.9   0.0    38    80   197   239   187   280 0.85 -
Pdum_NODE_70234_length_1788_cov_1203_794236_g5957_i7    -            529 2-Hacid_dh_C         PF02826.22   178    0.0034   18.0   1.1   1   3       3.9   1.5e+03   -0.4   0.0   134   154   140   160   138   178 0.85 -
Pdum_NODE_70234_length_1788_cov_1203_794236_g5957_i7    -            529 2-Hacid_dh_C         PF02826.22   178    0.0034   18.0   1.1   2   3    0.0022      0.83   10.2   0.2    33    86   204   257   168   260 0.80 -
Pdum_NODE_70234_length_1788_cov_1203_794236_g5957_i7    -            529 2-Hacid_dh_C         PF02826.22   178    0.0034   18.0   1.1   3   3      0.11        44    4.6   0.0    77   127   276   327   266   336 0.75 -
Pdum_DN8061_c0_g2_i1                                    -            318 2-Hacid_dh_C         PF02826.22   178    0.0062   17.1   0.0   1   1   2.7e-05      0.01   16.4   0.0    29    96    33   103    16   119 0.74 -
Pdum_DN2627_c0_g1_i5                                    -            327 2-Hacid_dh_C         PF02826.22   178    0.0074   16.9   0.2   1   1   3.1e-05     0.012   16.2   0.2    25   127    51   150    32   154 0.84 -
Pdum_DN2627_c0_g1_i23                                   -            241 2-Hacid_dh_C         PF02826.22   178     0.014   16.0   0.4   1   1   5.7e-05     0.022   15.4   0.4    34   127     4    94     1    98 0.87 -
Pdum_DN9905_c0_g1_i12                                   -            321 2-Hacid_dh_C         PF02826.22   178     0.016   15.8   0.1   1   1   7.1e-05     0.027   15.0   0.1    29   125    30   122    16   125 0.75 -
Pdum_DN9905_c0_g1_i20                                   -            321 2-Hacid_dh_C         PF02826.22   178     0.016   15.8   0.1   1   1   7.1e-05     0.027   15.0   0.1    29   125    30   122    16   125 0.75 -
Pdum_DN9905_c0_g1_i28                                   -            321 2-Hacid_dh_C         PF02826.22   178     0.016   15.8   0.1   1   1   7.1e-05     0.027   15.0   0.1    29   125    30   122    16   125 0.75 -
Pdum_DN9905_c0_g1_i5                                    -            321 2-Hacid_dh_C         PF02826.22   178     0.016   15.8   0.1   1   1   7.1e-05     0.027   15.0   0.1    29   125    30   122    16   125 0.75 -
Pdum_DN3813_c0_g1_i1                                    -            405 2-Hacid_dh_C         PF02826.22   178     0.018   15.7   0.1   1   1    0.0001      0.04   14.5   0.1    11    78    10    77     2    89 0.77 -
Pdum_NODE_117715_length_1035_cov_338_494908_g32092_i1   -            269 2-Hacid_dh_C         PF02826.22   178     0.018   15.7   0.0   1   1     7e-05     0.027   15.1   0.0    38    84     7    54     2    89 0.85 -
Pdum_NODE_105643_length_1197_cov_387_887238_g32092_i0   -            323 2-Hacid_dh_C         PF02826.22   178     0.021   15.4   0.0   1   1   9.6e-05     0.037   14.6   0.0    38    84     7    54     2    88 0.86 -
Pdum_NODE_83890_length_1537_cov_514_058625_g11053_i4    -            385 2-Hacid_dh_C         PF02826.22   178     0.028   15.0   0.0   1   1   0.00012     0.047   14.3   0.0    38    97    99   159    68   171 0.88 -
Pdum_NODE_106905_length_1179_cov_169_974245_g29582_i2   -            284 2-Hacid_dh_C         PF02826.22   178      0.03   14.9   0.0   1   1   0.00013     0.051   14.2   0.0    35    96     5    69     2    86 0.78 -
Pdum_DN8061_c0_g2_i2                                    -            284 2-Hacid_dh_C         PF02826.22   178     0.034   14.7   0.0   1   1   0.00015     0.058   14.0   0.0    35    96     5    69     2    86 0.77 -
Pdum_DN1164_c0_g1_i16                                   -            468 2-Hacid_dh_C         PF02826.22   178     0.037   14.6   0.0   1   1   0.00017     0.064   13.8   0.0    38    97   182   242   152   254 0.89 -
Pdum_DN1164_c0_g1_i10                                   -            482 2-Hacid_dh_C         PF02826.22   178     0.039   14.5   0.0   1   1   0.00018     0.067   13.8   0.0    38    97   196   256   166   268 0.89 -
Pdum_NODE_37085_length_2723_cov_114_590637_g10752_i0    -            404 2-Hacid_dh_C         PF02826.22   178     0.046   14.3   0.0   1   1   0.00021     0.082   13.5   0.0    31    71    67   108    34   142 0.78 -
Pdum_NODE_37703_length_2697_cov_113_803328_g10752_i1    -            404 2-Hacid_dh_C         PF02826.22   178     0.046   14.3   0.0   1   1   0.00021     0.082   13.5   0.0    31    71    67   108    34   142 0.78 -
Pdum_NODE_39432_length_2628_cov_129_143301_g10752_i2    -            404 2-Hacid_dh_C         PF02826.22   178     0.046   14.3   0.0   1   1   0.00021     0.082   13.5   0.0    31    71    67   108    34   142 0.78 -
Pdum_NODE_40140_length_2603_cov_122_268235_g10752_i3    -            404 2-Hacid_dh_C         PF02826.22   178     0.046   14.3   0.0   1   1   0.00021     0.082   13.5   0.0    31    71    67   108    34   142 0.78 -
Pdum_NODE_57483_length_2076_cov_155_477014_g10752_i4    -            404 2-Hacid_dh_C         PF02826.22   178     0.046   14.3   0.0   1   1   0.00021     0.082   13.5   0.0    31    71    67   108    34   142 0.78 -
Pdum_DN13121_c0_g1_i10                                  -            202 2-Hacid_dh_C         PF02826.22   178     0.048   14.3   0.1   1   1   0.00018     0.068   13.7   0.1    31    73     3    46     1   100 0.85 -
Pdum_NODE_64801_length_1903_cov_1758_146486_g18157_i0   -            378 2-Hacid_dh_C         PF02826.22   178     0.052   14.1   0.1   1   1   0.00029      0.11   13.0   0.1    35    79   194   239   185   250 0.84 -
Pdum_DN1164_c0_g1_i6                                    -            853 2-Hacid_dh_C         PF02826.22   178     0.069   13.7   0.0   1   1   0.00041      0.16   12.6   0.0    38    97   567   627   539   638 0.89 -
