#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Pele_NODE_92311_length_1352_cov_9570_408913_g42704_i0  -            224 1-cysPrx_C           PF10417.12    40   3.2e-12   47.4   0.0   1   1   4.6e-15   6.3e-12   46.4   0.0     1    40   163   202   163   202 0.95 -
Pele_NODE_78898_length_1567_cov_2771_184739_g35570_i0  -            241 1-cysPrx_C           PF10417.12    40   4.1e-12   47.0   0.0   1   1     5e-15   6.8e-12   46.3   0.0     1    27   200   226   200   235 0.89 -
Pele_NODE_82390_length_1508_cov_1533_411150_g35570_i1  -            241 1-cysPrx_C           PF10417.12    40   4.1e-12   47.0   0.0   1   1     5e-15   6.8e-12   46.3   0.0     1    27   200   226   200   235 0.89 -
Pele_NODE_83143_length_1496_cov_2615_001405_g278_i512  -            233 1-cysPrx_C           PF10417.12    40   4.4e-12   46.9   0.1   1   1   5.8e-15     8e-12   46.1   0.1     1    39   195   229   195   230 0.88 -
Pele_DN276249_c0_g1_i1                                 -            198 1-cysPrx_C           PF10417.12    40   4.5e-12   46.9   0.1   1   1   5.6e-15   7.7e-12   46.1   0.1     1    39   158   192   158   193 0.96 -
Pele_NODE_114564_length_1072_cov_3782_426426_g56286_i0 -            298 1-cysPrx_C           PF10417.12    40     5e-12   46.7   0.3   1   1     9e-15   1.2e-11   45.5   0.3     1    27   273   296   273   298 0.93 -
Pele_DN251162_c0_g1_i1                                 -            208 1-cysPrx_C           PF10417.12    40   5.4e-12   46.6   0.0   1   1   7.6e-15     1e-11   45.7   0.0     1    37   171   201   171   204 0.82 -
Pele_NODE_112110_length_1099_cov_146_548733_g54652_i0  -            224 1-cysPrx_C           PF10417.12    40   5.4e-12   46.6   0.1   1   1   6.6e-15   9.1e-12   45.9   0.1     1    40   186   221   186   221 0.96 -
Pele_DN3949_c0_g1_i5                                   -            279 1-cysPrx_C           PF10417.12    40   1.2e-11   45.5   0.7   1   1   1.8e-14   2.4e-11   44.6   0.7     1    39   231   265   231   266 0.95 -
Pele_DN3949_c0_g1_i6                                   -            282 1-cysPrx_C           PF10417.12    40   1.3e-11   45.4   0.7   1   1   1.8e-14   2.4e-11   44.5   0.7     1    39   245   279   245   280 0.95 -
Pele_DN47954_c0_g1_i2                                  -            223 1-cysPrx_C           PF10417.12    40   1.3e-11   45.4   0.0   1   1   1.8e-14   2.5e-11   44.5   0.0     1    39   161   199   161   200 0.94 -
Pele_NODE_152676_length_738_cov_35_323308_g85792_i0    -            215 1-cysPrx_C           PF10417.12    40   2.2e-11   44.7   0.0   1   1     3e-14   4.1e-11   43.8   0.0     1    30   179   208   179   209 0.94 -
Pele_DN3809_c0_g1_i2                                   -            195 1-cysPrx_C           PF10417.12    40   4.7e-11   43.6   1.2   1   2       4.5   6.1e+03   -1.5   0.1     6    12   129   135   128   135 0.93 -
Pele_DN3809_c0_g1_i2                                   -            195 1-cysPrx_C           PF10417.12    40   4.7e-11   43.6   1.2   2   2   6.5e-14   8.9e-11   42.7   0.2     1    39   157   191   157   192 0.95 -
Pele_DN282061_c0_g1_i1                                 -            209 1-cysPrx_C           PF10417.12    40   6.1e-11   43.3   0.0   1   1   9.7e-14   1.3e-10   42.2   0.0     1    38   171   204   171   206 0.93 -
Pele_DN3809_c0_g1_i1                                   -            197 1-cysPrx_C           PF10417.12    40   1.9e-10   41.7   0.1   1   1   2.8e-13   3.8e-10   40.7   0.1     1    38   157   190   157   192 0.91 -
Pele_DN3809_c0_g1_i3                                   -            197 1-cysPrx_C           PF10417.12    40   1.9e-10   41.7   0.1   1   1   2.8e-13   3.8e-10   40.7   0.1     1    38   157   190   157   192 0.91 -
Pele_DN166610_c0_g1_i1                                 -            137 1-cysPrx_C           PF10417.12    40   1.8e-09   38.5   0.1   1   1   2.4e-12   3.3e-09   37.7   0.1     1    26    98   123    98   133 0.86 -
Pele_NODE_143593_length_803_cov_5_464384_g78044_i0     -            267 1-cysPrx_C           PF10417.12    40     2e-08   35.2   0.3   1   1   2.5e-11   3.5e-08   34.5   0.3     1    27   243   266   243   267 0.94 -
Pele_NODE_190484_length_537_cov_2_728448_g121354_i0    -            176 1-cysPrx_C           PF10417.12    40   1.4e-07   32.5   0.0   1   2       8.7   1.2e+04   -2.5   0.0    21    35   132   146   131   147 0.78 -
Pele_NODE_190484_length_537_cov_2_728448_g121354_i0    -            176 1-cysPrx_C           PF10417.12    40   1.4e-07   32.5   0.0   2   2   2.9e-10     4e-07   31.0   0.0     1    19   158   176   158   176 0.96 -
Pele_NODE_150001_length_756_cov_25_469985_g83483_i0    -            239 1-cysPrx_C           PF10417.12    40    0.0069   17.5   0.1   1   1   8.5e-06     0.012   16.8   0.1     1    26   174   200   174   208 0.90 -
Pele_DN3340_c1_g1_i3                                   -           4063 1-cysPrx_C           PF10417.12    40      0.21   12.7   0.0   1   1   0.00065      0.89   10.7   0.0     2    19    38    56    38    59 0.84 -
Pele_DN3340_c1_g1_i17                                  -           4070 1-cysPrx_C           PF10417.12    40      0.22   12.7   0.0   1   1   0.00065       0.9   10.7   0.0     2    19    38    56    38    59 0.84 -
Pele_NODE_28788_length_3023_cov_23_601017_g12784_i0     -            262 14-3-3               PF00244.23   222  1.3e-104  349.9   3.0   1   1  7.6e-108  1.5e-104  349.7   3.0     1   222    13   235    13   235 0.99 -
Pele_NODE_110706_length_1114_cov_1032_348703_g50662_i1  -            256 14-3-3               PF00244.23   222  9.1e-104  347.1   8.1   1   1  5.4e-107  1.1e-103  346.9   8.1     1   222    13   235    13   235 0.99 -
Pele_NODE_79976_length_1548_cov_303_623051_g36114_i0    -            254 14-3-3               PF00244.23   222  8.9e-102  340.6  10.3   1   1  5.2e-105    1e-101  340.4  10.3     1   222    15   237    15   237 0.99 -
Pele_DN19832_c0_g1_i2                                   -            256 14-3-3               PF00244.23   222  1.6e-101  339.8   6.1   1   1    9e-105  1.8e-101  339.7   6.1     1   222    13   235    13   235 0.99 -
Pele_NODE_106723_length_1161_cov_897_362132_g51231_i0   -            256 14-3-3               PF00244.23   222  1.6e-101  339.8   6.1   1   1    9e-105  1.8e-101  339.7   6.1     1   222    13   235    13   235 0.99 -
Pele_NODE_115069_length_1067_cov_16_726358_g56623_i0    -            249 14-3-3               PF00244.23   222  6.3e-101  337.9  12.1   1   1  3.6e-104  7.2e-101  337.7  12.1     1   222    13   235    13   235 0.99 -
Pele_NODE_99422_length_1254_cov_463_165961_g46730_i0    -            259 14-3-3               PF00244.23   222  8.3e-100  334.2   8.0   1   1  4.8e-103  9.5e-100  334.0   8.0     2   222    15   236    14   236 0.99 -
Pele_NODE_31611_length_2889_cov_31_131392_g13974_i0     -            266 14-3-3               PF00244.23   222   1.5e-97  326.8   6.7   1   1  2.7e-100   5.3e-97  325.0   6.7     2   222    12   248    11   248 0.97 -
Pele_DN62209_c0_g1_i1                                   -            251 14-3-3               PF00244.23   222   2.1e-97  326.3   9.9   1   1  1.2e-100   2.4e-97  326.1   9.9     2   222    14   235    13   235 0.99 -
Pele_NODE_147559_length_773_cov_41_904286_g81394_i0     -            232 14-3-3               PF00244.23   222   2.7e-97  326.0   6.3   1   1  1.5e-100     3e-97  325.8   6.3     1   222     1   223     1   223 0.99 -
Pele_DN8566_c1_g1_i2                                    -            267 14-3-3               PF00244.23   222   1.2e-96  323.9   8.2   1   1   2.1e-99   4.1e-96  322.1   8.2     2   222    14   250    13   250 0.96 -
Pele_NODE_143814_length_801_cov_188_877747_g78234_i0    -            231 14-3-3               PF00244.23   222   4.9e-96  321.9   7.6   1   1   2.8e-99   5.5e-96  321.7   7.6     1   222     1   223     1   223 0.99 -
Pele_DN8566_c1_g1_i1                                    -            257 14-3-3               PF00244.23   222   3.9e-94  315.7   9.1   1   1   7.5e-97   1.5e-93  313.8   9.1     2   219    14   247    13   249 0.96 -
Pele_DN2669_c0_g1_i1                                    -            260 14-3-3               PF00244.23   222   9.5e-92  307.8   2.1   1   1   5.5e-95   1.1e-91  307.7   2.1     2   222    14   240    13   240 0.99 -
Pele_NODE_139614_length_835_cov_73_317585_g74804_i0     -            242 14-3-3               PF00244.23   222   4.7e-90  302.3   7.5   1   1   2.7e-93   5.3e-90  302.1   7.5     1   222    10   229    10   229 0.98 -
Pele_DN1049_c0_g1_i1                                    -            277 14-3-3               PF00244.23   222   1.5e-88  297.4   6.5   1   1   9.2e-92   1.8e-88  297.1   6.5     1   222    43   263    43   263 0.99 -
Pele_NODE_57014_length_2021_cov_9488_239733_g3354_i3    -            183 14-3-3               PF00244.23   222   1.2e-75  255.2   3.4   1   1     7e-79   1.4e-75  255.0   3.4     1   169    13   182    13   182 0.99 -
Pele_DN44522_c0_g1_i1                                   -            236 14-3-3               PF00244.23   222   8.9e-72  242.5   1.8   1   1   5.1e-75     1e-71  242.4   1.8     2   222    11   232    10   232 0.98 -
Pele_NODE_105172_length_1180_cov_11592_121951_g46001_i1 -            189 14-3-3               PF00244.23   222   1.3e-69  235.4   0.8   1   1   8.4e-73   1.7e-69  235.1   0.8    12   169    30   188    24   188 0.98 -
Pele_NODE_140026_length_832_cov_6_401845_g75139_i0      -            256 14-3-3               PF00244.23   222   9.3e-68  229.4   1.4   1   1   5.6e-71   1.1e-67  229.1   1.4     3   222    23   236    21   236 0.93 -
Pele_DN270679_c0_g1_i1                                  -            229 14-3-3               PF00244.23   222   4.3e-65  220.7  10.5   1   1   2.5e-68   4.9e-65  220.5  10.5     2   221    11   226    10   227 0.96 -
Pele_NODE_33340_length_2809_cov_5718_863670_g14585_i1   -            146 14-3-3               PF00244.23   222   2.5e-45  156.1   1.2   1   1   6.3e-48   1.2e-44  153.8   1.2   112   222     2   129     1   129 0.93 -
Pele_NODE_44750_length_2373_cov_922_043043_g19549_i0    -            167 14-3-3               PF00244.23   222   6.8e-32  112.1   4.5   1   1   5.1e-35     1e-31  111.6   4.5     2    91    14   102    13   105 0.97 -
Pele_DN12986_c0_g1_i10                               -            278 17kDa_Anti_2         PF16998.8    116      0.15   13.2   0.1   1   1   3.6e-05      0.32   12.2   0.1    39    68    99   128    79   135 0.86 -
Pele_DN12986_c0_g1_i11                               -            278 17kDa_Anti_2         PF16998.8    116      0.15   13.2   0.1   1   1   3.6e-05      0.32   12.2   0.1    39    68    99   128    79   135 0.86 -
Pele_DN12986_c0_g1_i3                                -            278 17kDa_Anti_2         PF16998.8    116      0.15   13.2   0.1   1   1   3.6e-05      0.32   12.2   0.1    39    68    99   128    79   135 0.86 -
Pele_NODE_29355_length_2994_cov_202_403629_g13028_i0 -            386 17kDa_Anti_2         PF16998.8    116      0.16   13.2   0.3   1   2       1.6   1.5e+04   -2.8   0.0    12    22    21    31     6    57 0.53 -
Pele_NODE_29355_length_2994_cov_202_403629_g13028_i0 -            386 17kDa_Anti_2         PF16998.8    116      0.16   13.2   0.3   2   2   5.1e-05      0.46   11.7   0.1    39    68   205   234   181   241 0.85 -
Pele_NODE_32882_length_2830_cov_202_183170_g13028_i1 -            386 17kDa_Anti_2         PF16998.8    116      0.16   13.2   0.3   1   2       1.6   1.5e+04   -2.8   0.0    12    22    21    31     6    57 0.53 -
Pele_NODE_32882_length_2830_cov_202_183170_g13028_i1 -            386 17kDa_Anti_2         PF16998.8    116      0.16   13.2   0.3   2   2   5.1e-05      0.46   11.7   0.1    39    68   205   234   181   241 0.85 -
Pele_NODE_2385_length_6931_cov_440_061680_g1273_i0    -            519 2-Hacid_dh           PF00389.33   134   2.2e-37  129.0   0.1   1   1     1e-40   3.4e-37  128.4   0.1     1   134     8   316     8   316 0.99 -
Pele_NODE_2437_length_6903_cov_440_465300_g1273_i1    -            519 2-Hacid_dh           PF00389.33   134   2.2e-37  129.0   0.1   1   1     1e-40   3.4e-37  128.4   0.1     1   134     8   316     8   316 0.99 -
Pele_NODE_56379_length_2039_cov_82_718718_g24659_i0   -            556 2-Hacid_dh           PF00389.33   134   9.6e-31  107.5   0.3   1   2   5.7e-34   1.8e-30  106.6   0.1     1   134    23   332    23   332 0.99 -
Pele_NODE_56379_length_2039_cov_82_718718_g24659_i0   -            556 2-Hacid_dh           PF00389.33   134   9.6e-31  107.5   0.3   2   2       4.6   1.5e+04   -3.1   0.0    82   100   521   539   516   543 0.78 -
Pele_DN53427_c0_g1_i1                                 -            369 2-Hacid_dh           PF00389.33   134   2.8e-30  106.0   0.0   1   1     1e-33   3.3e-30  105.8   0.0     2   133    53   366    52   367 0.97 -
Pele_NODE_11860_length_4330_cov_983_762274_g5309_i1   -            396 2-Hacid_dh           PF00389.33   134   2.3e-27   96.6   0.0   1   1   8.3e-31   2.7e-27   96.4   0.0     8   134    26   340    18   340 0.96 -
Pele_DN29604_c0_g1_i5                                 -            425 2-Hacid_dh           PF00389.33   134   2.9e-27   96.3   0.0   1   1   1.1e-30   3.4e-27   96.0   0.0     8   134    26   340    18   340 0.96 -
Pele_NODE_100679_length_1238_cov_260_463519_g47482_i0 -            337 2-Hacid_dh           PF00389.33   134   1.1e-21   78.2   0.1   1   1     5e-25   1.6e-21   77.6   0.1    37   131     2   286     1   291 0.98 -
Pele_NODE_90858_length_1375_cov_134_729647_g41875_i0  -            384 2-Hacid_dh           PF00389.33   134   2.1e-15   57.9   0.1   1   1   8.1e-19   2.6e-15   57.5   0.1     8   128    29   350    21   354 0.94 -
Pele_NODE_54193_length_2096_cov_436_902126_g23636_i0  -            375 2-Hacid_dh           PF00389.33   134   9.6e-10   39.5   0.0   1   1   3.7e-13   1.2e-09   39.2   0.0    40   132    94   371    65   373 0.92 -
Pele_DN3669_c4_g1_i4                                  -            335 2-Hacid_dh           PF00389.33   134    0.0067   17.4   0.0   1   1   2.6e-06    0.0083   17.1   0.0    10   131    14   331     7   334 0.87 -
Pele_NODE_88754_length_1407_cov_87_921289_g40712_i0   -            408 2-Hacid_dh           PF00389.33   134     0.015   16.3   0.0   1   1   5.8e-06     0.019   15.9   0.0    54   113   128   299    77   397 0.76 -
Pele_DN3425_c0_g1_i15                                 -            221 2-Hacid_dh           PF00389.33   134      0.29   12.1   0.0   1   1   0.00012       0.4   11.7   0.0    72   118    74   185    63   216 0.93 -
Pele_DN92190_c0_g2_i6                                 -            351 2-Hacid_dh           PF00389.33   134      0.43   11.5   0.0   1   2   0.00058       1.9    9.5   0.0    27    75    51    98    14   102 0.76 -
Pele_DN92190_c0_g2_i6                                 -            351 2-Hacid_dh           PF00389.33   134      0.43   11.5   0.0   2   2      0.57   1.8e+03   -0.2   0.0   111   131   322   342   167   345 0.58 -
Pele_NODE_41476_length_2483_cov_106_480498_g18127_i0  -            572 2-Hacid_dh           PF00389.33   134      0.48   11.4   0.3   1   2    0.0068        22    6.0   0.0    75    90   204   219   202   224 0.91 -
Pele_NODE_41476_length_2483_cov_106_480498_g18127_i0  -            572 2-Hacid_dh           PF00389.33   134      0.48   11.4   0.3   2   2     0.053   1.7e+02    3.1   0.0    50    87   314   352   295   363 0.80 -
Pele_NODE_56379_length_2039_cov_82_718718_g24659_i0    -            556 2-Hacid_dh_C         PF02826.22   178   2.8e-60  204.0   0.1   1   1   1.8e-62   6.8e-60  202.7   0.0     1   178   124   300   124   300 0.97 -
Pele_DN53427_c0_g1_i1                                  -            369 2-Hacid_dh_C         PF02826.22   178   1.4e-57  195.2   0.0   1   1   5.6e-60   2.1e-57  194.6   0.0     2   178   158   335   157   335 0.97 -
Pele_NODE_2385_length_6931_cov_440_061680_g1273_i0     -            519 2-Hacid_dh_C         PF02826.22   178   2.2e-57  194.6   0.0   1   1   1.2e-59   4.6e-57  193.5   0.0     2   178   111   284   110   284 0.98 -
Pele_NODE_2437_length_6903_cov_440_465300_g1273_i1     -            519 2-Hacid_dh_C         PF02826.22   178   2.2e-57  194.6   0.0   1   1   1.2e-59   4.6e-57  193.5   0.0     2   178   111   284   110   284 0.98 -
Pele_NODE_11860_length_4330_cov_983_762274_g5309_i1    -            396 2-Hacid_dh_C         PF02826.22   178   8.3e-56  189.4   0.0   1   1     3e-58   1.2e-55  188.9   0.0     2   178   122   305   121   305 0.94 -
Pele_DN29604_c0_g1_i5                                  -            425 2-Hacid_dh_C         PF02826.22   178   9.9e-56  189.2   0.0   1   1   3.6e-58   1.4e-55  188.7   0.0     2   178   122   305   121   305 0.94 -
Pele_NODE_100679_length_1238_cov_260_463519_g47482_i0  -            337 2-Hacid_dh_C         PF02826.22   178   6.3e-53  180.0   0.0   1   1   2.3e-55     9e-53  179.6   0.0     2   178    71   257    70   257 0.93 -
Pele_NODE_54193_length_2096_cov_436_902126_g23636_i0   -            375 2-Hacid_dh_C         PF02826.22   178   1.1e-50  172.7   0.0   1   1   3.9e-53   1.5e-50  172.3   0.0     6   178   166   341   161   341 0.90 -
Pele_DN3669_c4_g1_i4                                   -            335 2-Hacid_dh_C         PF02826.22   178   1.6e-50  172.2   0.0   1   1   5.6e-53   2.2e-50  171.8   0.0    22   178   139   301   112   301 0.85 -
Pele_NODE_88754_length_1407_cov_87_921289_g40712_i0    -            408 2-Hacid_dh_C         PF02826.22   178   1.7e-50  172.1   0.0   1   1   6.3e-53   2.4e-50  171.6   0.0     2   178   182   367   181   367 0.92 -
Pele_DN92190_c0_g2_i6                                  -            351 2-Hacid_dh_C         PF02826.22   178   1.4e-44  152.8   0.0   1   1   5.3e-47     2e-44  152.3   0.0     2   178   130   315   129   315 0.92 -
Pele_NODE_90858_length_1375_cov_134_729647_g41875_i0   -            384 2-Hacid_dh_C         PF02826.22   178     3e-42  145.3   0.3   1   1   3.6e-44   1.4e-41  143.1   0.3     6   178   135   324   130   324 0.92 -
Pele_DN7535_c0_g1_i14                                  -            503 2-Hacid_dh_C         PF02826.22   178   1.4e-10   42.1   0.2   1   1   8.4e-13   3.2e-10   40.9   0.2    34   129   281   372   257   381 0.90 -
Pele_DN7535_c0_g1_i4                                   -            506 2-Hacid_dh_C         PF02826.22   178   1.5e-10   42.0   0.2   1   1   8.5e-13   3.2e-10   40.9   0.2    34   129   284   375   260   384 0.90 -
Pele_DN7535_c0_g1_i12                                  -            523 2-Hacid_dh_C         PF02826.22   178   1.6e-10   41.9   0.2   1   1   8.9e-13   3.4e-10   40.8   0.2    34   129   301   392   277   401 0.90 -
Pele_DN7535_c0_g1_i2                                   -            551 2-Hacid_dh_C         PF02826.22   178   1.7e-10   41.8   0.2   1   1   9.7e-13   3.7e-10   40.7   0.2    34   129   329   420   305   429 0.90 -
Pele_NODE_13758_length_4107_cov_918_768716_g4773_i2    -            589 2-Hacid_dh_C         PF02826.22   178   1.9e-10   41.7   0.2   1   1   1.1e-12   4.1e-10   40.6   0.2    34   129   367   458   343   467 0.90 -
Pele_DN7535_c0_g1_i18                                  -            589 2-Hacid_dh_C         PF02826.22   178   1.9e-10   41.7   0.2   1   1   1.1e-12   4.1e-10   40.6   0.2    34   129   367   458   343   467 0.90 -
Pele_NODE_10135_length_4585_cov_769_969858_g4773_i0    -            976 2-Hacid_dh_C         PF02826.22   178   3.8e-10   40.7   0.2   1   1   2.2e-12   8.6e-10   39.5   0.2    34   129   754   845   732   854 0.90 -
Pele_NODE_145160_length_791_cov_8_188022_g79369_i0     -            263 2-Hacid_dh_C         PF02826.22   178   6.4e-10   40.0   0.8   1   1   2.5e-12   9.5e-10   39.4   0.8    34   127   174   263   159   263 0.92 -
Pele_NODE_69622_length_1739_cov_258_306122_g30891_i0   -            423 2-Hacid_dh_C         PF02826.22   178   7.5e-09   36.5   0.2   1   1   3.5e-11   1.3e-08   35.7   0.2    34   127   250   339   237   360 0.92 -
Pele_DN48461_c0_g2_i1                                  -            278 2-Hacid_dh_C         PF02826.22   178   1.1e-08   36.0   0.3   1   1   5.6e-11   2.1e-08   35.0   0.1    33   127    66   156    50   158 0.91 -
Pele_NODE_131668_length_902_cov_10099_583836_g17145_i3 -            285 2-Hacid_dh_C         PF02826.22   178   1.3e-08   35.7   0.1   1   1   5.5e-11   2.1e-08   35.0   0.1    33   127   130   220   110   222 0.91 -
Pele_NODE_39192_length_2567_cov_9166_951885_g17145_i0  -            353 2-Hacid_dh_C         PF02826.22   178   1.6e-08   35.4   0.3   1   1   8.5e-11   3.3e-08   34.4   0.1    33   127   130   220   111   222 0.91 -
Pele_DN153394_c0_g1_i1                                 -            470 2-Hacid_dh_C         PF02826.22   178   1.8e-08   35.2   0.3   1   1   8.6e-11   3.3e-08   34.4   0.3    34   127   248   337   233   348 0.91 -
Pele_NODE_99592_length_1252_cov_42_329092_g46829_i0    -            236 2-Hacid_dh_C         PF02826.22   178     2e-08   35.1   0.4   1   1   1.1e-10   4.1e-08   34.1   0.1    33   127    13   103     6   106 0.92 -
Pele_NODE_71142_length_1710_cov_89_670128_g31661_i0    -            476 2-Hacid_dh_C         PF02826.22   178   2.6e-08   34.7   0.1   1   1   1.2e-10   4.4e-08   34.0   0.1    34   127   251   340   238   357 0.91 -
Pele_DN7217_c0_g1_i1                                   -            392 2-Hacid_dh_C         PF02826.22   178   2.2e-06   28.4   0.1   1   1   1.1e-08   4.3e-06   27.5   0.1    36   127   183   283   177   292 0.82 -
Pele_DN311869_c0_g1_i1                                 -            490 2-Hacid_dh_C         PF02826.22   178   2.5e-06   28.3   0.1   1   1   1.2e-08   4.5e-06   27.4   0.1    34   127   267   356   254   368 0.92 -
Pele_NODE_109444_length_1129_cov_544_321970_g52918_i0  -            360 2-Hacid_dh_C         PF02826.22   178   4.8e-05   24.1   0.0   1   1   2.2e-07   8.6e-05   23.2   0.0    27    87   174   230   159   259 0.78 -
Pele_DN38345_c0_g1_i3                                  -            426 2-Hacid_dh_C         PF02826.22   178   5.8e-05   23.8   0.0   1   1   2.8e-07   0.00011   22.9   0.0    34   127   196   298   189   311 0.85 -
Pele_DN235407_c0_g1_i1                                 -            540 2-Hacid_dh_C         PF02826.22   178   7.1e-05   23.5   0.3   1   3     0.036        14    6.3   0.0    28    64    46    82    29    92 0.85 -
Pele_DN235407_c0_g1_i1                                 -            540 2-Hacid_dh_C         PF02826.22   178   7.1e-05   23.5   0.3   2   3   0.00088      0.34   11.5   0.0    25    98   209   279   203   287 0.77 -
Pele_DN235407_c0_g1_i1                                 -            540 2-Hacid_dh_C         PF02826.22   178   7.1e-05   23.5   0.3   3   3      0.99   3.8e+02    1.6   0.0    41    68   472   499   456   519 0.83 -
Pele_NODE_36417_length_2678_cov_188_178503_g15934_i0   -            335 2-Hacid_dh_C         PF02826.22   178   7.6e-05   23.4   0.0   1   1   3.4e-07   0.00013   22.7   0.0    36   111    37   113     5   132 0.83 -
Pele_DN1487_c1_g1_i2                                   -            326 2-Hacid_dh_C         PF02826.22   178   0.00014   22.6   0.0   1   1     6e-07   0.00023   21.8   0.0    29    87     4    60     1    97 0.80 -
Pele_DN1487_c1_g1_i4                                   -            326 2-Hacid_dh_C         PF02826.22   178   0.00014   22.6   0.0   1   1     6e-07   0.00023   21.8   0.0    29    87     4    60     1    97 0.80 -
Pele_DN106701_c0_g1_i1                                 -            363 2-Hacid_dh_C         PF02826.22   178   0.00017   22.3   0.1   1   1   8.2e-07   0.00032   21.4   0.1    29    83   176   231   166   284 0.75 -
Pele_NODE_27177_length_3107_cov_376_523401_g12097_i0   -            516 2-Hacid_dh_C         PF02826.22   178   0.00026   21.7   0.0   1   1   1.1e-06   0.00044   20.9   0.0    35   103    52   124    29   161 0.80 -
Pele_NODE_34777_length_2747_cov_627_142483_g15278_i0   -            292 2-Hacid_dh_C         PF02826.22   178   0.00036   21.2   0.0   1   2   6.5e-05     0.025   15.2   0.1    17    77    19    80     6    93 0.76 -
Pele_NODE_34777_length_2747_cov_627_142483_g15278_i0   -            292 2-Hacid_dh_C         PF02826.22   178   0.00036   21.2   0.0   2   2      0.24        93    3.6   0.0    73   108   172   207   159   212 0.77 -
Pele_NODE_38106_length_2609_cov_685_958991_g15278_i1   -            292 2-Hacid_dh_C         PF02826.22   178   0.00036   21.2   0.0   1   2   6.5e-05     0.025   15.2   0.1    17    77    19    80     6    93 0.76 -
Pele_NODE_38106_length_2609_cov_685_958991_g15278_i1   -            292 2-Hacid_dh_C         PF02826.22   178   0.00036   21.2   0.0   2   2      0.24        93    3.6   0.0    73   108   172   207   159   212 0.77 -
Pele_NODE_50041_length_2213_cov_624_409813_g15278_i3   -            292 2-Hacid_dh_C         PF02826.22   178   0.00036   21.2   0.0   1   2   6.5e-05     0.025   15.2   0.1    17    77    19    80     6    93 0.76 -
Pele_NODE_50041_length_2213_cov_624_409813_g15278_i3   -            292 2-Hacid_dh_C         PF02826.22   178   0.00036   21.2   0.0   2   2      0.24        93    3.6   0.0    73   108   172   207   159   212 0.77 -
Pele_NODE_145197_length_791_cov_3_536212_g79404_i0     -            263 2-Hacid_dh_C         PF02826.22   178   0.00041   21.0   0.1   1   1     3e-06    0.0011   19.6   0.1    12    68     5    62     3    80 0.86 -
