go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0006888	8	GO:0006897	0.635	2.82390874094432	152	endoplasmic reticulum to Golgi vesicle-mediated transport	endocytosis
GO:0098727	15	GO:0019827	0.996	2.80966830182971	1	maintenance of cell number	stem cell population maintenance
GO:0006898	8	GO:0006897	0.918	2.80687540164554	84	receptor-mediated endocytosis	endocytosis
GO:0043412	10	GO:0036211	0.931	2.7851561519523	0	macromolecule modification	protein modification process
GO:0048512	16	GO:0048512	1	2.78251605578609	8	circadian behavior	circadian behavior
GO:0006364	3	GO:0006396	0.776	2.75696195131371	116	rRNA processing	RNA processing
GO:0014015	7	GO:0060251	0.72	2.74714696902011	3	positive regulation of gliogenesis	regulation of glial cell proliferation
GO:0120193	11	GO:0043297	0.843	2.73992861201493	3	tight junction organization	apical junction assembly
GO:0055123	2	GO:0048546	0.924	2.72584215073632	6	digestive system development	digestive tract morphogenesis
GO:0048863	17	GO:0048863	0.998	2.72124639904717	44	stem cell differentiation	stem cell differentiation
GO:0008104	5	GO:0045184	0.91	2.70553377383841	126	protein localization	establishment of protein localization
GO:0016575	10	GO:0036211	0.557	2.70114692359029	65	histone deacetylation	protein modification process
GO:0001505	18	GO:0001505	0.998	2.68613277963085	4	regulation of neurotransmitter levels	regulation of neurotransmitter levels
GO:0034249	1	GO:0034248	0.936	2.67985371388895	0	negative regulation of amide metabolic process	regulation of amide metabolic process
GO:0060562	9	GO:0048729	0.912	2.67366413907125	1	epithelial tube morphogenesis	tissue morphogenesis
GO:0001708	17	GO:0048863	0.382	2.62160209905186	32	cell fate specification	stem cell differentiation
GO:0080090	1	GO:0034248	0.462	2.61618463401957	0	regulation of primary metabolic process	regulation of amide metabolic process
GO:0007622	16	GO:0048512	0.997	2.61261017366127	2	rhythmic behavior	circadian behavior
GO:0050768	7	GO:0060251	0.486	2.60906489289662	24	negative regulation of neurogenesis	regulation of glial cell proliferation
GO:0051489	6	GO:0071840	0.397	2.59687947882418	21	regulation of filopodium assembly	cellular component organization or biogenesis
GO:0050890	14	GO:0007611	0.986	2.56224943717961	51	cognition	learning or memory
GO:0019882	19	GO:0019882	0.999	2.56066730616974	24	antigen processing and presentation	antigen processing and presentation
GO:0034660	3	GO:0006396	0.528	2.53165266958784	0	ncRNA metabolic process	RNA processing
GO:0051130	6	GO:0071840	0.585	2.49349496759513	0	positive regulation of cellular component organization	cellular component organization or biogenesis
GO:0015031	5	GO:0045184	0.974	2.48412615628832	354	protein transport	establishment of protein localization
GO:0070727	5	GO:0045184	0.91	2.46980030179692	0	cellular macromolecule localization	establishment of protein localization
GO:0019538	20	GO:0019538	0.911	2.46980030179692	18	protein metabolic process	protein metabolic process
GO:0048194	21	GO:0048194	1	2.46852108295775	5	Golgi vesicle budding	Golgi vesicle budding
GO:0007276	22	GO:0007276	0.993	2.45345733652187	20	gamete generation	gamete generation
GO:0048522	23	GO:0048522	0.893	2.44369749923271	0	positive regulation of cellular process	positive regulation of cellular process
GO:0045665	7	GO:0060251	0.463	2.41680122603138	61	negative regulation of neuron differentiation	regulation of glial cell proliferation
GO:2000736	17	GO:0048863	0.906	2.3829996588791	21	regulation of stem cell differentiation	stem cell differentiation
GO:0043170	20	GO:0019538	0.597	2.37468754903833	1	macromolecule metabolic process	protein metabolic process
GO:0060541	4	GO:0007275	0.482	2.34198860334289	4	respiratory system development	multicellular organism development
GO:0051246	20	GO:0019538	0.748	2.33068311943389	11	regulation of protein metabolic process	protein metabolic process
GO:0033036	5	GO:0045184	0.863	2.32422165832591	0	macromolecule localization	establishment of protein localization
GO:0030100	8	GO:0006897	0.893	2.31425826139774	36	regulation of endocytosis	endocytosis
GO:0048598	9	GO:0048729	0.603	2.30715308072277	11	embryonic morphogenesis	tissue morphogenesis
GO:0071345	24	GO:0071345	0.991	2.30715308072277	33	cellular response to cytokine stimulus	cellular response to cytokine stimulus
GO:0046847	6	GO:0071840	0.413	2.30016227413275	30	filopodium assembly	cellular component organization or biogenesis
GO:0010942	23	GO:0048522	0.537	2.28232949699774	50	positive regulation of cell death	positive regulation of cellular process
GO:0007369	9	GO:0048729	0.526	2.27654432796481	25	gastrulation	tissue morphogenesis
GO:0000281	25	GO:0000281	0.999	2.25258819211358	75	mitotic cytokinesis	mitotic cytokinesis
GO:0006457	26	GO:0006457	0.998	2.24949160514865	187	protein folding	protein folding
GO:0042752	12	GO:0007623	0.937	2.24412514432751	66	regulation of circadian rhythm	circadian rhythm
GO:0042886	13	GO:0098657	0.386	2.2335871528876	1	amide transport	import into cell
GO:0033044	6	GO:0071840	0.492	2.22548303427145	19	regulation of chromosome organization	cellular component organization or biogenesis
GO:0045165	17	GO:0048863	0.415	2.22329881601159	55	cell fate commitment	stem cell differentiation
GO:0051171	1	GO:0034248	0.579	2.21824462534753	1	regulation of nitrogen compound metabolic process	regulation of amide metabolic process
GO:0043068	23	GO:0048522	0.527	2.21538270736712	12	positive regulation of programmed cell death	positive regulation of cellular process
GO:1903305	8	GO:0006897	0.619	2.21253952548158	2	regulation of regulated secretory pathway	endocytosis
GO:0048002	19	GO:0019882	0.972	2.20065945054642	3	antigen processing and presentation of peptide antigen	antigen processing and presentation
GO:0043473	27	GO:0043473	0.999	2.1890957193313	22	pigmentation	pigmentation
GO:0048511	12	GO:0007623	0.965	2.18375870000822	68	rhythmic process	circadian rhythm
GO:0015833	13	GO:0098657	0.374	2.1791420105603	5	peptide transport	import into cell
GO:0140013	22	GO:0007276	0.708	2.17327747983101	4	meiotic nuclear division	gamete generation
GO:0071705	13	GO:0098657	0.468	2.17327747983101	6	nitrogen compound transport	import into cell
GO:0051961	7	GO:0060251	0.411	2.17005330405836	1	negative regulation of nervous system development	regulation of glial cell proliferation
GO:0051321	22	GO:0007276	0.733	2.16685288808721	68	meiotic cell cycle	gamete generation
GO:0031323	1	GO:0034248	0.459	2.1438755557577	0	regulation of cellular metabolic process	regulation of amide metabolic process
GO:0042254	6	GO:0071840	0.503	2.14086170270547	32	ribosome biogenesis	cellular component organization or biogenesis
GO:0002478	19	GO:0019882	0.898	2.13966199342901	0	antigen processing and presentation of exogenous peptide antigen	antigen processing and presentation
GO:0016070	3	GO:0006396	0.714	2.13253251214095	7	RNA metabolic process	RNA processing
GO:0030431	28	GO:0030431	1	2.12784372725171	11	sleep	sleep
GO:0035239	9	GO:0048729	0.634	2.12551818230053	1	tube morphogenesis	tissue morphogenesis
GO:0001704	9	GO:0048729	0.503	2.12262865413023	2	formation of primary germ layer	tissue morphogenesis
GO:0031623	8	GO:0006897	0.852	2.12262865413023	51	receptor internalization	endocytosis
GO:0045596	7	GO:0060251	0.38	2.11125903931711	52	negative regulation of cell differentiation	regulation of glial cell proliferation
GO:0048468	4	GO:0007275	0.598	2.09312646527793	21	cell development	multicellular organism development
GO:0030518	24	GO:0071345	0.619	2.09312646527793	6	intracellular steroid hormone receptor signaling pathway	cellular response to cytokine stimulus
GO:0007399	4	GO:0007275	0.738	2.09258863922541	375	nervous system development	multicellular organism development
GO:0050867	23	GO:0048522	0.516	2.08724669632868	3	positive regulation of cell activation	positive regulation of cellular process
GO:0007349	9	GO:0048729	0.367	2.08407278830288	0	cellularization	tissue morphogenesis
GO:0019886	19	GO:0019882	0.883	2.08039897621589	41	antigen processing and presentation of exogenous peptide antigen via MHC class II	antigen processing and presentation
GO:0061640	25	GO:0000281	0.972	2.07365755337434	23	cytoskeleton-dependent cytokinesis	mitotic cytokinesis
GO:0048731	4	GO:0007275	0.853	2.06803388527183	2	system development	multicellular organism development
GO:0016050	21	GO:0048194	0.736	2.05799194697769	16	vesicle organization	Golgi vesicle budding
GO:0072583	8	GO:0006897	0.796	2.05453141486818	44	clathrin-dependent endocytosis	endocytosis
GO:0009755	24	GO:0071345	0.648	2.05354773498693	50	hormone-mediated signaling pathway	cellular response to cytokine stimulus
GO:0008380	3	GO:0006396	0.882	2.03905380426617	173	RNA splicing	RNA processing
GO:0002504	19	GO:0019882	0.919	2.03857890593355	1	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation
GO:0002495	19	GO:0019882	0.916	2.03857890593355	3	antigen processing and presentation of peptide antigen via MHC class II	antigen processing and presentation
GO:0050767	7	GO:0060251	0.522	2.03621217265444	41	regulation of neurogenesis	regulation of glial cell proliferation
GO:0006476	10	GO:0036211	0.583	2.02965312376991	20	protein deacetylation	protein modification process
GO:0019884	19	GO:0019882	0.908	2.02136305161553	2	antigen processing and presentation of exogenous antigen	antigen processing and presentation
GO:0051588	13	GO:0098657	0.343	2.01818139282934	0	regulation of neurotransmitter transport	import into cell
GO:0070374	23	GO:0048522	0.463	2.0096611452124	260	positive regulation of ERK1 and ERK2 cascade	positive regulation of cellular process
GO:0051276	6	GO:0071840	0.571	2.00833099262005	24	chromosome organization	cellular component organization or biogenesis
GO:0017148	1	GO:0034248	0.929	2.00524305541237	95	negative regulation of translation	regulation of amide metabolic process
GO:0033206	25	GO:0000281	0.809	2.00480370840282	2	meiotic cytokinesis	mitotic cytokinesis
