go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0046328	3	GO:0031098	0.937	2.93554201077308	16	regulation of JNK cascade	stress-activated protein kinase signaling cascade
GO:0048518	13	GO:0002224	0.36	2.92081875395238	0	positive regulation of biological process	toll-like receptor signaling pathway
GO:0043412	16	GO:0000209	0.619	2.89279003035213	0	macromolecule modification	protein polyubiquitination
GO:0060541	19	GO:0060541	0.998	2.88605664769316	4	respiratory system development	respiratory system development
GO:0042981	18	GO:0006915	0.913	2.87614835903291	203	regulation of apoptotic process	apoptotic process
GO:0012501	18	GO:0006915	0.965	2.87289520163519	10	programmed cell death	apoptotic process
GO:0050790	5	GO:0065009	0.91	2.86012091359876	21	regulation of catalytic activity	regulation of molecular function
GO:0043067	18	GO:0006915	0.902	2.85078088734462	3	regulation of programmed cell death	apoptotic process
GO:0051174	10	GO:0006468	0.756	2.84163750790475	1	regulation of phosphorus metabolic process	protein phosphorylation
GO:0019220	10	GO:0006468	0.759	2.84163750790475	0	regulation of phosphate metabolic process	protein phosphorylation
GO:0002768	7	GO:1902107	0.607	2.83863199776503	7	immune response-regulating cell surface receptor signaling pathway	positive regulation of leukocyte differentiation
GO:0120032	12	GO:0045229	0.329	2.82973828460504	0	regulation of plasma membrane bounded cell projection assembly	external encapsulating structure organization
GO:0060491	12	GO:0045229	0.33	2.82973828460504	4	regulation of cell projection assembly	external encapsulating structure organization
GO:0009886	15	GO:0022612	0.372	2.78781239559604	0	post-embryonic animal morphogenesis	gland morphogenesis
GO:0002429	7	GO:1902107	0.677	2.73282827159699	4	immune response-activating cell surface receptor signaling pathway	positive regulation of leukocyte differentiation
GO:0035239	19	GO:0060541	0.381	2.7281583934635	1	tube morphogenesis	respiratory system development
GO:0009790	19	GO:0060541	0.388	2.71219827006977	11	embryo development	respiratory system development
GO:0061041	14	GO:0009611	0.871	2.65364702554936	7	regulation of wound healing	response to wounding
GO:0051641	4	GO:0051179	0.758	2.64781748188864	1	cellular localization	localization
GO:0060562	19	GO:0060541	0.341	2.64781748188864	1	epithelial tube morphogenesis	respiratory system development
GO:0036211	16	GO:0000209	0.631	2.64016451766011	84	protein modification process	protein polyubiquitination
GO:0031099	11	GO:0042246	0.93	2.59687947882418	1	regeneration	tissue regeneration
GO:0045089	8	GO:0002221	0.96	2.57675412606319	27	positive regulation of innate immune response	pattern recognition receptor signaling pathway
GO:0048563	15	GO:0022612	0.509	2.57675412606319	4	post-embryonic animal organ morphogenesis	gland morphogenesis
GO:0007267	20	GO:0007267	0.977	2.56383735295924	205	cell-cell signaling	cell-cell signaling
GO:0035150	17	GO:0050878	0.516	2.55595520408192	1	regulation of tube size	regulation of body fluid levels
GO:0007266	3	GO:0031098	0.504	2.55129368009492	59	Rho protein signal transduction	stress-activated protein kinase signaling cascade
GO:0007010	12	GO:0045229	0.412	2.54821356447571	156	cytoskeleton organization	external encapsulating structure organization
GO:0120034	12	GO:0045229	0.314	2.54060751224077	1	positive regulation of plasma membrane bounded cell projection assembly	external encapsulating structure organization
GO:0010595	9	GO:0048870	0.713	2.51286162452281	70	positive regulation of endothelial cell migration	cell motility
GO:0042060	14	GO:0009611	0.972	2.50445566245355	93	wound healing	response to wounding
GO:0060560	15	GO:0022612	0.459	2.48945498979339	3	developmental growth involved in morphogenesis	gland morphogenesis
GO:0018105	16	GO:0000209	0.468	2.48545224733971	222	peptidyl-serine phosphorylation	protein polyubiquitination
GO:0090066	17	GO:0050878	0.573	2.46470587995723	0	regulation of anatomical structure size	regulation of body fluid levels
GO:0010594	9	GO:0048870	0.754	2.45593195564972	8	regulation of endothelial cell migration	cell motility
GO:0048598	19	GO:0060541	0.364	2.43297363384094	11	embryonic morphogenesis	respiratory system development
GO:0045216	12	GO:0045229	0.334	2.4294570601181	25	cell-cell junction organization	external encapsulating structure organization
GO:0043069	18	GO:0006915	0.842	2.42021640338319	15	negative regulation of programmed cell death	apoptotic process
GO:0070302	3	GO:0031098	0.971	2.41116827440579	1	regulation of stress-activated protein kinase signaling cascade	stress-activated protein kinase signaling cascade
GO:0032872	3	GO:0031098	0.97	2.41116827440579	11	regulation of stress-activated MAPK cascade	stress-activated protein kinase signaling cascade
GO:0002697	7	GO:1902107	0.619	2.40230481407449	0	regulation of immune effector process	positive regulation of leukocyte differentiation
GO:0046903	4	GO:0051179	0.6	2.40230481407449	8	secretion	localization
GO:0030198	12	GO:0045229	0.997	2.39469495385889	161	extracellular matrix organization	external encapsulating structure organization
GO:0051247	21	GO:0051247	0.985	2.39361863488939	26	positive regulation of protein metabolic process	positive regulation of protein metabolic process
GO:0043085	5	GO:0065009	0.847	2.38195190328791	28	positive regulation of catalytic activity	regulation of molecular function
GO:0007165	20	GO:0007267	0.615	2.36451625318509	1108	signal transduction	cell-cell signaling
GO:0031349	13	GO:0002224	0.837	2.35654732351381	0	positive regulation of defense response	toll-like receptor signaling pathway
GO:0050867	22	GO:0050867	0.996	2.35359627377693	3	positive regulation of cell activation	positive regulation of cell activation
GO:0023052	20	GO:0007267	0.628	2.35261702988538	7	signaling	cell-cell signaling
GO:0051246	21	GO:0051247	0.88	2.34198860334289	11	regulation of protein metabolic process	positive regulation of protein metabolic process
GO:0002696	22	GO:0050867	0.992	2.32422165832591	0	positive regulation of leukocyte activation	positive regulation of cell activation
GO:0006470	10	GO:0006468	0.619	2.31966448658544	169	protein dephosphorylation	protein phosphorylation
GO:0051239	22	GO:0050867	0.665	2.31875876262441	0	regulation of multicellular organismal process	positive regulation of cell activation
GO:0060548	18	GO:0006915	0.832	2.31875876262441	75	negative regulation of cell death	apoptotic process
GO:0046879	17	GO:0050878	0.552	2.31605286924849	5	hormone secretion	regulation of body fluid levels
GO:0043066	18	GO:0006915	0.853	2.31069114087638	542	negative regulation of apoptotic process	apoptotic process
GO:0007275	19	GO:0060541	0.482	2.30364361126667	79	multicellular organism development	respiratory system development
GO:0009887	15	GO:0022612	0.758	2.30016227413275	106	animal organ morphogenesis	gland morphogenesis
GO:0040011	23	GO:0040011	0.982	2.29670862188134	8	locomotion	locomotion
GO:1903034	14	GO:0009611	0.885	2.29073003902417	1	regulation of response to wounding	response to wounding
GO:0008285	24	GO:0008285	0.993	2.28650945690606	447	negative regulation of cell population proliferation	negative regulation of cell population proliferation
GO:0002440	7	GO:1902107	0.454	2.28567024025477	0	production of molecular mediator of immune response	positive regulation of leukocyte differentiation
GO:0043062	12	GO:0045229	0.345	2.27984069659404	1	extracellular structure organization	external encapsulating structure organization
GO:0009914	17	GO:0050878	0.554	2.27490547891853	1	hormone transport	regulation of body fluid levels
GO:0001667	9	GO:0048870	0.816	2.26121944151563	4	ameboidal-type cell migration	cell motility
GO:0032501	22	GO:0050867	0.37	2.25492520841794	0	multicellular organismal process	positive regulation of cell activation
GO:0007548	25	GO:0007548	0.997	2.25492520841794	19	sex differentiation	sex differentiation
GO:0035295	19	GO:0060541	0.393	2.25414480482627	2	tube development	respiratory system development
GO:0006796	10	GO:0006468	0.865	2.25336580106242	18	phosphate-containing compound metabolic process	protein phosphorylation
GO:0018209	16	GO:0000209	0.471	2.23957751657679	0	peptidyl-serine modification	protein polyubiquitination
GO:0006793	10	GO:0006468	0.863	2.23732143627256	0	phosphorus metabolic process	protein phosphorylation
GO:0002831	8	GO:0002221	0.921	2.22475374025976	0	regulation of response to biotic stimulus	pattern recognition receptor signaling pathway
GO:0007154	3	GO:0031098	0.45	2.22184874961636	18	cell communication	stress-activated protein kinase signaling cascade
GO:0031399	21	GO:0051247	0.814	2.22040350874218	0	regulation of protein modification process	positive regulation of protein metabolic process
GO:0032940	4	GO:0051179	0.587	2.21112488422458	10	secretion by cell	localization
GO:0016331	19	GO:0060541	0.314	2.1944991418416	11	morphogenesis of embryonic epithelium	respiratory system development
GO:1904951	4	GO:0051179	0.485	2.18775530319963	7	positive regulation of establishment of protein localization	localization
GO:0042127	24	GO:0008285	0.871	2.15614457737684	140	regulation of cell population proliferation	negative regulation of cell population proliferation
GO:0045766	19	GO:0060541	0.357	2.15428198203334	178	positive regulation of angiogenesis	respiratory system development
GO:0008219	18	GO:0006915	0.951	2.1232050237993	35	cell death	apoptotic process
GO:0009617	8	GO:0002221	0.672	2.1157712303674	116	response to bacterium	pattern recognition receptor signaling pathway
GO:1903829	4	GO:0051179	0.514	2.11520463605102	7	positive regulation of protein localization	localization
GO:0048856	19	GO:0060541	0.416	2.10127481841051	49	anatomical structure development	respiratory system development
GO:0006810	4	GO:0051179	0.861	2.09151498112135	17	transport	localization
GO:0051222	4	GO:0051179	0.483	2.08144546944973	4	positive regulation of protein transport	localization
GO:0000165	3	GO:0031098	0.6	2.07883394936226	122	MAPK cascade	stress-activated protein kinase signaling cascade
GO:0006955	7	GO:1902107	0.559	2.07058107428571	467	immune response	positive regulation of leukocyte differentiation
GO:0016311	10	GO:0006468	0.643	2.0670191780768	53	dephosphorylation	protein phosphorylation
GO:0001932	10	GO:0006468	0.914	2.06499684854635	44	regulation of protein phosphorylation	protein phosphorylation
GO:0032103	13	GO:0002224	0.809	2.06048074738138	0	positive regulation of response to external stimulus	toll-like receptor signaling pathway
GO:0007599	17	GO:0050878	0.963	2.05799194697769	8	hemostasis	regulation of body fluid levels
GO:0060255	21	GO:0051247	0.59	2.04914854111145	0	regulation of macromolecule metabolic process	positive regulation of protein metabolic process
GO:0002682	7	GO:1902107	0.722	2.04769199033787	42	regulation of immune system process	positive regulation of leukocyte differentiation
GO:0046651	24	GO:0008285	0.674	2.04575749056068	7	lymphocyte proliferation	negative regulation of cell population proliferation
GO:0048568	19	GO:0060541	0.349	2.04000516167158	31	embryonic organ development	respiratory system development
GO:0019222	21	GO:0051247	0.561	2.03763066432998	3	regulation of metabolic process	positive regulation of protein metabolic process
GO:0010921	10	GO:0006468	0.546	2.03526907894637	3	regulation of phosphatase activity	protein phosphorylation
GO:0045088	8	GO:0002221	0.941	2.03526907894637	24	regulation of innate immune response	pattern recognition receptor signaling pathway
GO:0051234	4	GO:0051179	0.868	2.02965312376991	0	establishment of localization	localization
GO:0080090	21	GO:0051247	0.654	2.01682492796219	0	regulation of primary metabolic process	positive regulation of protein metabolic process
GO:0051493	12	GO:0045229	0.363	2.01322826573376	23	regulation of cytoskeleton organization	external encapsulating structure organization
GO:0032943	24	GO:0008285	0.675	2.01055018233331	1	mononuclear cell proliferation	negative regulation of cell population proliferation
GO:0010646	3	GO:0031098	0.403	2.00700490156866	0	regulation of cell communication	stress-activated protein kinase signaling cascade
GO:0010941	18	GO:0006915	0.892	2.0017406615763	6	regulation of cell death	apoptotic process
